PERÍODO,EMPRESA,LOCALIDAD,PROVINCIA,INSUMO,"CUPO TOTAL ASIGNADO ","PRODUCCIÓN ","VENTAS TOTALES ","PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA (antes AXION ENERGY ARGENTINA S.A.)","PETROBRAS ARGENTINA S.A.","FOX PETROL S.A.","REFINERÍA DEL NORTE S.A.","SHELL ARGENTINA C.A.P.S.A.","YPF S.A.","ENERGÍA Y DERIVADOS DEL PETRÓLEO S.A.","OIL COMBUSTIBLES S.A.","TRAFIGURA ARGENTINA S.A.","REFI PAMPA S.A."
2012/06/01,"BIOENERGÍA SANTA ROSA S.A.","LEÓN ROUGES",TUCUMÁN,"CAÑA DE AZÚCAR",1000,"2281,212886923563","1013,8344914718889","678,67","335,16",0,0,0,0,0,0,0,0
2012/06/01,"BIOLEDESMA S.A.",LEDESMA,JUJUY,"CAÑA DE AZÚCAR",4083,"2541,4024005053698","3594,1250789639926","623,06",0,0,0,"765,06","1801,55","71,84","332,62",0,0
2012/06/01,"BIOTRINIDAD S.A.","VILLA LA TRINIDAD",TUCUMÁN,"CAÑA DE AZÚCAR",1400,"3384,005053695515","1497,1446620341126",0,0,0,0,0,"1497,14",0,0,0,0
2012/06/01,"COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.","LA FLORIDA",TUCUMÁN,"CAÑA DE AZÚCAR",5000,"4545,104232469994","3495,1737207833226",0,"37,67",0,"651,37",0,"2362,36",0,"443,78",0,0
2012/06/01,"ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.",AGUILARES,TUCUMÁN,"CAÑA DE AZÚCAR",2090,"2101,0739102969046","2002,5268477574227","1187,62",0,0,0,"481,36",0,0,"333,54",0,0
2012/06/01,"RÍO GRANDE ENERGÍA S.A.","LA MENDIETA",JUJUY,"CAÑA DE AZÚCAR",1000,"228,85660138976627","848,3891345546431",0,0,0,0,"442,96","405,43",0,0,0,0
2012/07/01,"ALCONOA S.R.L.","EL TABACAL",SALTA,"CAÑA DE AZÚCAR",4250,"6973,998736576122","4398,003790271636",379,0,0,0,2268,1751,0,0,0,0
2012/07/01,"BIO SAN ISIDRO S.A.","CAMPO SANTO",SALTA,"CAÑA DE AZÚCAR",500,"554,5925457991156","262,24889450410615",0,0,0,0,0,"262,25",0,0,0,0
2012/07/01,"BIOENERGÍA LA CORONA S.A.",CONCEPCIÓN,TUCUMÁN,"CAÑA DE AZÚCAR",670,"1506,6077068856603","673,4049273531269",0,0,0,0,0,"673,41",0,0,0,0
2012/07/01,"BIOENERGÍA SANTA ROSA S.A.","LEÓN ROUGES",TUCUMÁN,"CAÑA DE AZÚCAR",1000,"2687,997473152243","1156,310802274163","529,73","626,58",0,0,0,0,0,0,0,0
2012/07/01,"BIOLEDESMA S.A.",LEDESMA,JUJUY,"CAÑA DE AZÚCAR",4083,"4174,428300694884","4002,9564118761846","622,51",0,0,0,"839,56","2056,23",0,"484,66",0,0
2012/07/01,"BIOTRINIDAD S.A.","VILLA LA TRINIDAD",TUCUMÁN,"CAÑA DE AZÚCAR",1516,"4447,454200884396","1502,438408085913",0,0,0,0,0,"1502,44",0,0,0,0
2012/07/01,"COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.","LA FLORIDA",TUCUMÁN,"CAÑA DE AZÚCAR",5000,"4440,151610865446","4259,823120656981",0,"436,52",0,586,0,"2760,38",0,"476,93",0,0
2012/07/01,"ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.",AGUILARES,TUCUMÁN,"CAÑA DE AZÚCAR",2090,"2219,8357548957674","1892,6089703095388","1086,54",0,0,0,"548,32",0,0,"257,74",0,0
2012/07/01,"RÍO GRANDE ENERGÍA S.A.","LA MENDIETA",JUJUY,"CAÑA DE AZÚCAR",800,"1503,9671509791538","803,348073278585",0,0,0,0,"517,08","286,27",0,0,0,0
2012/08/01,"ALCONOA S.R.L.","EL TABACAL",SALTA,"CAÑA DE AZÚCAR",4250,"2127,9974731522425","3539,001895135818",189,0,0,0,2215,1135,0,0,0,0
2012/08/01,"BIO SAN ISIDRO S.A.","CAMPO SANTO",SALTA,"CAÑA DE AZÚCAR",500,"593,7207833228048","464,5483259633607",0,0,0,0,0,"464,55",0,0,0,0
2012/08/01,"BIOENERGÍA LA CORONA S.A.",CONCEPCIÓN,TUCUMÁN,"CAÑA DE AZÚCAR",670,"1536,1718256475049","652,7858496525583",0,0,0,0,0,"652,78",0,0,0,0
2012/08/01,"BIOENERGÍA SANTA ROSA S.A.","LEÓN ROUGES",TUCUMÁN,"CAÑA DE AZÚCAR",1000,"2723,4112444725206","1033,973468098547","485,81","548,17",0,0,0,0,0,0,0,0
2012/08/01,"BIOLEDESMA S.A.",LEDESMA,JUJUY,"CAÑA DE AZÚCAR",4083,"5646,860391661402",4328,"622,18",0,0,0,"692,26","2473,31","63,61","476,84",0,0
2012/08/01,"BIOTRINIDAD S.A.","VILLA LA TRINIDAD",TUCUMÁN,"CAÑA DE AZÚCAR",1517,"4614,908401768794",1582,0,0,0,0,0,"1582,45",0,0,0,0
2012/08/01,"COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.","LA FLORIDA",TUCUMÁN,"CAÑA DE AZÚCAR",5000,"3806,822488945041","4165,900189513582",0,"397,55",0,"502,57",0,"2899,3",0,"366,48",0,0
2012/08/01,"ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.",AGUILARES,TUCUMÁN,"CAÑA DE AZÚCAR",2090,"2150,3474415666456","2039,1661402400505","1191,41",0,0,0,"512,95",0,0,"334,81",0,0
2012/08/01,"RÍO GRANDE ENERGÍA S.A.","LA MENDIETA",JUJUY,"CAÑA DE AZÚCAR",1000,"1416,9425142135187","1382,6910928616553",0,0,0,0,"516,15","866,54",0,0,0,0
2012/09/01,"ALCONOA S.R.L.","EL TABACAL",SALTA,"CAÑA DE AZÚCAR",4250,"7328,995578016425","4201,996209728364",301,0,0,0,2035,1866,0,0,0,0
